ticker,industry,market_cap
FANH,Specialty Insurers,
PNF,n/a,$99.42M
EWZS,n/a,$58.46M
ORMP,Major Pharmaceuticals,$98.91M
USNA,Specialty Chemicals,$1.6B
NLY^E,n/a,n/a
GAIN,n/a,$305.91M
MTGEP,Real Estate Investment Trusts,$52M
CNCE,Major Pharmaceuticals,$299.64M
PSTI,Biotechnology: Biological Products (No Diagnostic Substances),$121.38M
SSTK,EDP Services,$1.51B
BLVDU,Business Services,n/a
KELYB,Professional Services,
ABBV,Major Pharmaceuticals,$113.08B
POWI,Semiconductors,$1.89B
PBI,Office Equipment/Supplies/Services,$2.84B
PKW,n/a,$1.33B
DOX,EDP Services,$9.48B
AFHBL,Property-Casualty Insurers,n/a
SSL,Oil & Gas Production,$18.63B
LBIX,Beverages (Production/Distribution),$5.24M
TVTY,Hospital/Nursing Management,$1.47B
STZ,Beverages (Production/Distribution),$35.32B
NAUH,Other Consumer Services,$63.95M
SCE^J,n/a,n/a
VRTSP,Investment Managers,n/a
AKBA,Major Pharmaceuticals,$548.36M
BG,Packaged Foods,$10.8B
IAE,n/a,
LBIO,Biotechnology: Biological Products (No Diagnostic Substances),
VR,Property-Casualty Insurers,$4.21B
CNA,Property-Casualty Insurers,$13.17B
GARS,n/a,$134.17M
AYX,Computer Software: Prepackaged Software,$1.09B
ATKR,Industrial Machinery/Components,$1.39B
MSDI,Electronic Components,$4.11M
PAR,Office Equipment/Supplies/Services,$136.02M
SSD,Industrial Machinery/Components,$2.08B
ABEO,Major Pharmaceuticals,$189.2M
LUK,Meat/Poultry/Fish,$9.37B
JPS,n/a,$2.07B
ADS,Business Services,$14.19B
VCIT,n/a,$14.59B
AGYS,EDP Services,$223.07M
KWN,Real Estate,n/a
HLNE,Investment Managers,$956.82M
C^J,n/a,n/a
PRO,EDP Services,$847.46M
ABM,Diversified Commercial Services,$2.33B
ACRX,Major Pharmaceuticals,$108.91M
ASB,Major Banks,$3.82B
LQ,Hotels/Resorts,$1.78B
SALM,Broadcasting,$187.36M
UTI,Other Consumer Services,$90.32M
PINC,Other Consumer Services,$1.83B
MRT,Real Estate Investment Trusts,$389.56M
OBLN,Medical/Dental Instruments,$184.04M
CBLI,Biotechnology: Commercial Physical & Biological Resarch,$36.89M
KSU^,Railroads,n/a
BBOX,Computer Communications Equipment,$117.47M
LHCG,Medical/Nursing Services,$1.2B
KFS,Property-Casualty Insurers,$143.39M
MPCT,n/a,$22.24M
COLM,Apparel,$3.94B
BVSN,Computer Software: Prepackaged Software,$21.6M
CENTA,Consumer Specialties,$1.51B
AMT,Real Estate Investment Trusts,$56.08B
PFE,Major Pharmaceuticals,$196.76B
JW.A,n/a,n/a
NWFL,Major Banks,$171.78M
DWAQ,n/a,$35.54M
FNJN,Multi-Sector Companies,$73.68M
OHGI,Telecommunications Equipment,$5.79M
GPRE,Major Chemicals,$868.22M
FISV,EDP Services,$26.47B
SU,Integrated oil Companies,$49.63B
HOTRW,Restaurants,n/a
MYCC,Hotels/Resorts,$871.53M
BLCM,Major Pharmaceuticals,$375.06M
GRR,n/a,$42.55M
RARX,Major Pharmaceuticals,
HTGC,n/a,$1.1B
MIIIU,Business Services,n/a
CLVS,Major Pharmaceuticals,
EMCF,Major Banks,$59.2M
CTIC,Major Pharmaceuticals,$93.98M
KELYB,Professional Services,
BPFH,Major Banks,$1.32B
YECO,Building Materials,$5.4M
FSZ,n/a,$192.43M
ISRL,Oil & Gas Production,$287.94M
UFCS,Property-Casualty Insurers,$1.15B
AHL^D,n/a,n/a
VIV,Telecommunications Equipment,$23.59B
EYEG,Major Pharmaceuticals,$14.33M
RY^T,n/a,n/a
BLRX,Major Pharmaceuticals,$83.27M
CFC^B,n/a,n/a
GBLIZ,Property-Casualty Insurers,n/a
VGIT,n/a,$1.2B
VRAY,Biotechnology: Electromedical & Electrotherapeutic Apparatus,$370.12M
BCOM,Telecommunications Equipment,$636.64M
NRT,Oil & Gas Production,$61.21M
JELD,Forest Products,$3.6B
ARH^C,n/a,n/a
PMD,Medical Specialities,$118.92M
CXW,Real Estate Investment Trusts,$3.31B
BONT,Department/Specialty Retail Stores,$10.54M
HBMD,Major Banks,$184.1M
GLOG,Marine Transportation,$1.14B
PM,Farming/Seeds/Milling,$189.23B
TLF,Apparel,$76.52M
NXJ,n/a,$589.8M
SPEX,Multi-Sector Companies,$4.5M
LGI,n/a,$156.37M
SGMS,EDP Services,$2.3B
AKO.B,n/a,n/a
LAND,Real Estate Investment Trusts,$133.56M
AGCO,Industrial Machinery/Components,$5.35B
NUE,Steel/Iron Ore,$17.52B
ARDX,Major Pharmaceuticals,$206.13M
BKT,n/a,$402.84M
BAC.WS.B,n/a,n/a
ORAN,Telecommunications Equipment,$43.94B
KTOVW,Major Pharmaceuticals,n/a
WPC,Real Estate Investment Trusts,$7.24B
TCRX,n/a,n/a
DENN,Restaurants,$803.43M
NGVC,Food Chains,$196.12M
OSN,Steel/Iron Ore,$14.05M
LORL,Radio And Television Broadcasting And Communications Equipment,$1.29B
EBF,Office Equipment/Supplies/Services,$417.14M
PSMT,Department/Specialty Retail Stores,$2.58B
CRR,Industrial Machinery/Components,$178.04M
MSLI,Major Pharmaceuticals,$143.17M
HPS,n/a,
GCO,Clothing/Shoe/Accessory Stores,$677.94M
TD,Commercial Banks,$91.25B
LPNT,Hospital/Nursing Management,
AOS,Consumer Electronics/Appliances,$9.82B
HSEB,Savings Institutions,
MELR,Major Banks,$46.84M
DKT,Major Banks,n/a
HLI,Investment Managers,$2.3B
SLMBP,Finance: Consumer Services,$289.76M
MUSA,Automotive Aftermarket,
BCOM,Telecommunications Equipment,$636.64M
ELOS,Biotechnology: Electromedical & Electrotherapeutic Apparatus,$385.8M
ALRM,Computer Software: Prepackaged Software,$1.69B
BRC,Miscellaneous manufacturing industries,$1.84B
MULE,Computer Software: Prepackaged Software,$3.18B
CVGW,Farming/Seeds/Milling,$1.24B
FFIC,Major Banks,$826.02M
AKO.A,n/a,n/a
PBI,Office Equipment/Supplies/Services,
SCACW,Business Services,n/a
UHT,Real Estate Investment Trusts,$1.05B
RBPAA,Major Banks,$126.83M
MYOV,Major Pharmaceuticals,$683.9M
